distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,refill liters,refill gas,snow,time,lkm
28.0,5.0,26,21.5,12,E10,0,0,0,45.0,E10,0,1.0769230769230769,17.86
12.0,4.2,30,21.5,13,E10,0,0,0,0.0,No,0,0.4,35.0
11.2,5.5,38,21.5,15,E10,0,0,0,0.0,No,0,0.2947368421052631,49.11
12.9,3.9,36,21.5,14,E10,0,0,0,0.0,No,0,0.3583333333333333,30.23
18.5,4.5,46,21.5,15,E10,0,0,0,0.0,No,0,0.4021739130434782,24.32
8.3,6.4,50,21.5,10,E10,0,0,0,0.0,No,0,0.166,77.11
7.8,4.4,43,21.5,11,E10,0,0,0,0.0,No,0,0.1813953488372092,56.41
12.3,5.0,40,21.5,6,E10,0,0,0,0.0,No,0,0.3075,40.65
11.9,5.3,30,21.5,9,E10,0,0,0,0.0,No,0,0.3966666666666666,44.54
12.4,5.6,42,21.5,4,E10,0,0,0,0.0,No,0,0.2952380952380952,45.16
11.8,4.6,38,21.5,0,E10,0,0,0,0.0,No,0,0.3105263157894737,38.98
12.3,5.9,59,21.5,10,E10,0,0,0,0.0,No,0,0.2084745762711864,47.97
24.7,5.1,58,21.5,12,E10,0,0,0,0.0,No,0,0.4258620689655172,20.65
12.4,4.7,46,21.5,11,E10,0,0,0,0.0,No,0,0.2695652173913043,37.9
17.3,5.1,24,21.5,5,E10,0,0,0,0.0,No,0,0.7208333333333333,29.48
11.8,5.1,32,21.5,3,E10,0,0,0,0.0,No,0,0.36875,43.22
25.9,4.9,39,21.5,8,E10,0,0,0,0.0,No,0,0.6641025641025641,18.92
11.8,4.7,40,21.5,4,E10,0,0,0,0.0,No,0,0.295,39.83
25.3,5.5,32,21.5,3,E10,0,0,0,0.0,No,0,0.790625,21.74
14.2,5.9,38,21.5,1,E10,0,0,0,0.0,No,0,0.3736842105263158,41.55
17.9,5.7,37,21.5,1,E10,0,0,0,0.0,No,0,0.4837837837837837,31.84
11.8,4.7,36,21.5,1,E10,0,0,0,0.0,No,0,0.3277777777777778,39.83
12.3,5.9,62,21.5,6,E10,0,0,0,0.0,No,0,0.1983870967741935,47.97
12.4,4.1,57,21.5,9,E10,0,0,0,0.0,No,0,0.2175438596491228,33.06
18.4,5.7,21,22.5,2,E10,0,0,0,0.0,No,0,0.8761904761904761,30.98
18.4,5.8,28,21.5,3,E10,0,0,0,0.0,No,0,0.6571428571428571,31.52
18.3,5.5,29,21.5,1,E10,0,0,0,0.0,No,0,0.6310344827586207,30.05
18.4,5.7,35,21.5,4,E10,0,0,0,0.0,No,0,0.5257142857142857,30.98
12.3,5.3,51,21.5,11,E10,0,0,0,0.0,No,0,0.2411764705882353,43.09
11.8,5.0,29,21.5,10,E10,0,0,0,0.0,No,0,0.4068965517241379,42.37
12.3,5.6,58,21.5,8,E10,0,0,0,0.0,No,0,0.2120689655172414,45.53
19.0,4.3,36,21.5,7,E10,0,0,0,0.0,No,0,0.5277777777777778,22.63
12.1,5.7,36,21.5,8,E10,0,0,0,0.0,No,0,0.3361111111111111,47.11
20.0,5.2,37,21.5,4,E10,0,0,0,0.0,No,0,0.5405405405405406,26.0
11.8,4.8,23,21.5,9,E10,0,0,0,0.0,No,0,0.5130434782608696,40.68
12.3,6.5,58,21.5,7,E10,0,0,0,0.0,No,0,0.2120689655172414,52.85
12.4,4.0,55,21.5,7,E10,1,1,0,0.0,No,0,0.2254545454545454,32.26
11.7,4.6,37,21.5,6,E10,0,0,0,0.0,No,0,0.3162162162162162,39.32
10.2,4.3,44,21.5,7,E10,0,0,0,0.0,No,0,0.2318181818181818,42.16
5.4,3.3,32,21.5,7,SP98,0,0,0,37.6,SP98,0,0.16875,61.11
14.2,5.1,32,21.5,7,SP98,0,0,0,0.0,No,0,0.44375,35.92
16.0,4.9,25,21.5,8,SP98,0,0,0,0.0,No,0,0.64,30.63
11.8,4.9,25,21.5,11,SP98,0,0,0,0.0,No,0,0.472,41.53
27.3,4.7,36,21.5,10,SP98,0,0,0,0.0,No,0,0.7583333333333333,17.22
11.8,5.1,29,21.5,5,SP98,0,1,0,0.0,No,0,0.4068965517241379,43.22
10.6,4.9,63,21.5,6,SP98,0,0,0,0.0,No,0,0.1682539682539682,46.23
11.6,4.2,61,21.5,7,SP98,0,0,0,0.0,No,0,0.1901639344262295,36.21
13.1,6.1,46,21.5,6,SP98,0,1,0,0.0,No,0,0.2847826086956521,46.56
11.8,4.9,24,21.5,7,SP98,0,0,0,0.0,No,0,0.4916666666666667,41.53
12.3,6.2,61,21.5,8,SP98,0,0,0,0.0,No,0,0.2016393442622951,50.41
12.4,4.2,57,21.5,8,SP98,0,0,0,0.0,No,0,0.2175438596491228,33.87
12.3,5.7,52,21.5,8,SP98,0,1,0,0.0,No,0,0.2365384615384615,46.34
9.8,5.8,24,21.5,6,SP98,0,0,0,0.0,No,0,0.4083333333333334,59.18
6.8,5.3,26,21.5,6,SP98,0,0,0,0.0,No,0,0.2615384615384615,77.94
12.4,5.4,24,21.5,7,SP98,0,0,0,0.0,No,0,0.5166666666666667,43.55
12.4,4.7,57,21.5,8,SP98,0,0,0,0.0,No,0,0.2175438596491228,37.9
11.8,4.6,41,21.5,6,SP98,0,0,0,0.0,No,0,0.2878048780487805,38.98
12.3,5.4,55,21.5,8,SP98,0,0,0,0.0,No,0,0.2236363636363636,43.9
14.0,4.3,40,21.5,8,SP98,0,0,0,0.0,No,0,0.35,30.71
11.8,4.5,37,21.5,4,SP98,1,0,0,0.0,No,0,0.3189189189189189,38.14
12.3,5.2,55,21.5,12,SP98,0,0,0,0.0,No,0,0.2236363636363636,42.28
13.9,5.1,29,21.5,6,SP98,0,0,0,0.0,No,0,0.4793103448275862,36.69
9.7,3.9,42,21.5,8,SP98,0,0,0,0.0,No,0,0.2309523809523809,40.21
11.6,5.0,25,21.5,6,SP98,0,0,0,0.0,No,0,0.4639999999999999,43.1
14.2,5.4,38,21.5,7,SP98,0,0,0,0.0,No,0,0.3736842105263158,38.03
11.8,4.5,39,21.5,6,SP98,0,0,0,0.0,No,0,0.3025641025641026,38.14
24.8,5.1,50,21.5,9,SP98,0,0,0,0.0,No,0,0.496,20.56
12.4,4.7,56,21.5,7,SP98,0,0,0,0.0,No,0,0.2214285714285714,37.9
14.2,5.4,36,20.0,6,SP98,0,0,0,0.0,No,0,0.3944444444444444,38.03
5.2,4.5,39,20.0,10,SP98,0,0,0,0.0,No,0,0.1333333333333333,86.54
10.5,3.6,42,20.0,10,SP98,0,0,0,37.7,SP98,0,0.25,34.29
12.3,5.2,57,20.0,10,SP98,0,0,0,0.0,No,0,0.2157894736842105,42.28
11.8,4.9,25,20.0,11,SP98,0,0,0,0.0,No,0,0.472,41.53
12.3,6.2,58,20.0,11,SP98,0,1,0,0.0,No,0,0.2120689655172414,50.41
13.2,4.3,51,20.0,11,SP98,0,1,0,0.0,No,0,0.2588235294117647,32.58
13.0,5.0,45,20.0,11,SP98,0,1,0,0.0,No,0,0.2888888888888888,38.46
12.9,5.1,32,20.0,11,SP98,0,0,0,0.0,No,0,0.403125,39.53
13.9,5.6,22,20.0,8,SP98,0,0,0,0.0,No,0,0.6318181818181818,40.29
11.8,4.3,37,20.0,6,SP98,0,0,0,0.0,No,0,0.3189189189189189,36.44
12.2,5.8,60,20.0,11,SP98,0,0,0,0.0,No,0,0.2033333333333333,47.54
12.5,4.0,51,20.0,13,SP98,0,0,0,0.0,No,0,0.2450980392156862,32.0
12.4,4.7,43,21.929521,10,SP98,0,0,0,0.0,No,0,0.2883720930232558,37.9
11.8,5.9,21,20.0,9,SP98,1,1,0,0.0,No,0,0.5619047619047619,50.0
11.8,5.3,52,21.929521,11,SP98,0,0,0,0.0,No,0,0.2269230769230769,44.92
12.5,4.2,57,20.0,11,SP98,0,0,0,0.0,No,0,0.219298245614035,33.6
15.7,5.3,33,21.929521,9,SP98,0,0,0,0.0,No,0,0.4757575757575757,33.76
12.9,5.7,35,21.929521,9,SP98,0,0,0,0.0,No,0,0.3685714285714286,44.19
6.4,4.4,37,21.929521,10,SP98,0,0,0,0.0,No,0,0.1729729729729729,68.75
5.3,4.1,34,21.929521,9,SP98,0,0,0,0.0,No,0,0.1558823529411764,77.36
26.2,5.8,71,21.0,8,SP98,1,1,0,0.0,No,0,0.3690140845070422,22.14
18.8,5.0,62,21.929521,9,SP98,0,1,0,0.0,No,0,0.3032258064516129,26.6
12.4,5.4,18,21.0,11,SP98,1,1,0,0.0,No,0,0.6888888888888889,43.55
22.9,5.3,45,20.5,7,SP98,0,0,0,0.0,No,0,0.5088888888888888,23.14
11.8,4.7,36,21.0,4,SP98,0,0,0,0.0,No,0,0.3277777777777778,39.83
16.6,5.1,56,21.0,7,SP98,0,0,0,0.0,No,0,0.2964285714285714,30.72
12.4,5.7,37,21.0,7,SP98,0,0,0,0.0,No,0,0.3351351351351351,45.97
15.9,5.4,25,21.0,7,SP98,0,0,0,0.0,No,0,0.636,33.96
22.4,4.9,66,20.5,7,SP98,0,0,0,0.0,No,0,0.3393939393939393,21.88
11.8,5.1,26,23.0,4,SP98,0,1,0,0.0,No,0,0.4538461538461539,43.22
22.9,6.0,42,23.0,4,SP98,0,1,0,0.0,No,0,0.5452380952380952,26.2
12.4,4.6,38,23.0,1,SP98,0,1,0,0.0,No,1,0.3263157894736842,37.1
12.9,5.8,40,23.0,4,SP98,0,0,0,0.0,No,0,0.3225,44.96
11.8,5.1,43,23.0,0,SP98,0,0,0,0.0,No,0,0.2744186046511628,43.22
12.2,5.8,58,23.0,2,SP98,0,0,0,0.0,No,0,0.2103448275862068,47.54
24.8,4.6,55,23.0,3,SP98,0,0,0,0.0,No,0,0.4509090909090909,18.55
14.2,5.6,24,23.0,8,SP98,0,0,0,0.0,No,0,0.5916666666666667,39.44
11.8,4.6,38,23.0,0,SP98,0,1,0,0.0,No,1,0.3105263157894737,38.98
12.2,6.3,57,23.0,0,SP98,0,1,0,0.0,No,1,0.2140350877192982,51.64
24.7,5.5,56,25.0,1,SP98,0,0,0,0.0,No,0,0.4410714285714285,22.27
6.8,4.3,46,24.0,2,SP98,0,0,0,0.0,No,0,0.1478260869565217,63.24
17.3,5.6,37,21.5,1,SP98,0,0,0,0.0,No,0,0.4675675675675675,32.37
11.8,4.3,44,21.5,-3,SP98,0,0,0,0.0,No,0,0.2681818181818182,36.44
15.9,5.7,46,21.5,5,SP98,0,0,0,0.0,No,0,0.3456521739130435,35.85
16.1,4.5,33,21.5,6,SP98,0,0,0,0.0,No,0,0.4878787878787879,27.95
11.8,4.5,43,21.5,3,SP98,0,0,0,0.0,No,0,0.2744186046511628,38.14
17.4,5.1,30,21.5,5,SP98,0,0,0,0.0,No,0,0.58,29.31
23.5,6.0,25,21.5,5,SP98,0,1,0,0.0,No,0,0.94,25.53
11.8,4.5,38,21.5,5,SP98,0,1,0,0.0,No,0,0.3105263157894737,38.14
12.3,6.1,61,21.5,10,SP98,0,1,0,0.0,No,0,0.2016393442622951,49.59
16.1,5.4,24,21.5,7,E10,0,1,0,38.0,E10,0,0.6708333333333334,33.54
11.8,4.3,40,21.5,10,E10,0,1,0,0.0,No,0,0.295,36.44
12.3,5.4,58,21.5,13,E10,0,0,0,0.0,No,0,0.2120689655172414,43.9
12.4,4.3,49,21.5,17,E10,0,0,0,0.0,No,0,0.2530612244897959,34.68
7.0,5.2,25,21.5,17,E10,0,0,0,0.0,No,0,0.28,74.29
11.8,4.1,37,21.5,10,E10,0,0,0,0.0,No,0,0.3189189189189189,34.75
20.1,4.4,41,21.5,18,E10,0,0,0,0.0,No,0,0.4902439024390244,21.89
20.8,4.5,45,21.5,10,E10,0,0,0,0.0,No,0,0.4622222222222222,21.63
16.8,4.0,46,21.5,8,E10,0,0,0,0.0,No,0,0.3652173913043478,23.81
9.9,5.0,28,21.5,9,E10,0,0,0,0.0,No,0,0.3535714285714286,50.51
22.9,4.6,61,21.5,7,E10,0,1,0,0.0,No,0,0.3754098360655737,20.09
17.3,5.0,61,21.5,6,E10,1,1,0,0.0,No,0,0.2836065573770492,28.9
11.8,4.3,37,21.5,7,E10,0,0,0,0.0,No,0,0.3189189189189189,36.44
11.8,4.2,34,21.5,9,E10,0,1,0,0.0,No,0,0.3470588235294118,35.59
21.6,5.3,44,21.5,9,E10,0,1,0,0.0,No,0,0.4909090909090909,24.54
26.6,4.8,38,21.5,7,E10,0,0,0,0.0,No,0,0.7000000000000001,18.05
18.9,4.4,53,21.5,2,E10,0,0,0,0.0,No,0,0.3566037735849056,23.28
16.4,4.8,49,21.5,5,E10,0,0,0,0.0,No,0,0.3346938775510203,29.27
12.3,6.1,40,21.5,6,E10,0,0,0,0.0,No,0,0.3075,49.59
21.1,4.6,36,21.5,8,E10,0,0,0,0.0,No,0,0.5861111111111111,21.8
21.1,4.8,43,21.5,7,E10,0,0,0,0.0,No,0,0.4906976744186047,22.75
22.7,4.7,55,21.5,6,E10,0,0,0,0.0,No,0,0.4127272727272727,20.7
11.8,4.9,44,21.5,0,E10,0,0,0,0.0,No,0,0.2681818181818182,41.53
26.2,4.9,42,21.5,6,E10,0,0,0,0.0,No,0,0.6238095238095238,18.7
12.4,5.3,38,21.0,-5,E10,0,0,0,0.0,No,0,0.3263157894736842,42.74
14.1,5.3,47,21.0,-3,E10,0,0,0,0.0,No,0,0.3,37.59
16.2,5.2,29,21.0,0,E10,0,0,0,0.0,No,0,0.5586206896551724,32.1
12.3,4.9,50,22.5,0,E10,0,0,0,0.0,No,0,0.246,39.84
12.3,7.1,52,22.5,0,E10,1,1,0,0.0,No,1,0.2365384615384615,57.72
12.4,5.2,51,22.5,1,E10,0,0,0,0.0,No,0,0.2431372549019607,41.94
12.3,5.1,55,22.5,8,E10,0,0,0,0.0,No,0,0.2236363636363636,41.46
12.3,4.8,41,22.5,7,E10,0,0,0,0.0,No,0,0.3,39.02
12.1,4.2,43,22.0,4,SP98,0,0,0,39.0,SP98,0,0.2813953488372093,34.71
11.8,4.5,41,21.5,13,SP98,0,0,0,0.0,No,0,0.2878048780487805,38.14
28.2,4.6,54,21.5,14,SP98,0,0,0,0.0,No,0,0.5222222222222223,16.31
6.1,5.6,24,21.5,13,SP98,0,0,0,0.0,No,0,0.2541666666666666,91.8
19.6,4.9,43,21.5,13,SP98,0,0,0,0.0,No,0,0.4558139534883721,25.0
22.2,3.8,42,21.929521,15,SP98,0,0,0,0.0,No,0,0.5285714285714286,17.12
